".InternetGatewayDevice.","IGD",,,"object","-","R","V",,"The top-level object for an Internet Gateway Device."
".InternetGatewayDevice.Time.NTPServer5",,,,"string(64)","O","O",,"check_ntpd","Fifth NTP timeserver.  Either a host name or IP address."
".InternetGatewayDevice.Time.CurrentLocalTime",,1,0,"dateTime","-","C","  N",,"The current date and time in the CPE's local time zone."
".InternetGatewayDevice.Time.LocalTimeZone",,,,"string(6)","C","C",,,"The local time offset from UTC in the form:
+hh:mm
-hh:mm"
".InternetGatewayDevice.Time.LocalTimeZoneName",,0,1,"string(64)","C","C",,,"Name of the local time zone (human readable string)."
".InternetGatewayDevice.Time.DaylightSavingsUsed",,,,"boolean","C","C",,,"Whether or not daylight savings time is in use in the CPE's local time zone."
".InternetGatewayDevice.Time.DaylightSavingsStart",,,,"dateTime","C","C",,,"Date and time daylight savings time begins if used in local standard time.  If daylight savings time is not used, this value is ignored."
".InternetGatewayDevice.Time.DaylightSavingsEnd",,,,"dateTime","C","C",,,"Date and time daylight savings time ends if used in local daylight time.  If daylight savings time is not used, this value is ignored."
".InternetGatewayDevice.UserInterface.","UI",,,"object","-","O",,,"This object contains parameters relating to the user interface of the CPE.  Support for this object is Optional."
".InternetGatewayDevice.UserInterface.PasswordRequired",,,,"boolean","O","O",,,"Present only if the CPE provides a password-protected LAN-side user interface.
Indicates whether or not the local user interface must require a password to be chosen by the user.  If false, the choice of whether or not a password is used is left to the user."
".InternetGatewayDevice.UserInterface.PasswordUserSelectable",,,,"boolean","O","O",,,"Present only if the CPE provides a password-protected LAN-side user interface and supports LAN-side Auto-Configuration.
Indicates whether or not a password to protect the local user interface of the CPE may be selected by the user directly, or must be equal to the password used by the LAN-side Auto-Configuration protocol."
".InternetGatewayDevice.UserInterface.UpgradeAvailable",,,,"boolean","O","O",,,"Indicates that a CPE upgrade is available, allowing the CPE to display this information to the user."
".InternetGatewayDevice.UserInterface.WarrantyDate",,,,"dateTime","O","O",,,"Indicates the date and time in UTC that the warranty associated with the CPE is to expire."
".InternetGatewayDevice.UserInterface.ISPName",,,,"string(64)","O","O",,,"The name of the customer's ISP."
".InternetGatewayDevice.UserInterface.ISPHelpDesk",,,,"string(32)","O","O",,,"The help desk phone number of the ISP."
".InternetGatewayDevice.UserInterface.ISPHomePage",,,,"string(256)","O","O",,,"The URL of the ISP's home page."
".InternetGatewayDevice.UserInterface.ISPHelpPage",,,,"string(256)","O","O",,,"The URL of the ISP's on-line support page."
".InternetGatewayDevice.UserInterface.ISPLogo",,,,"string(256)","O","O",,,"Base64 encoded GIF or JPEG image. The binary image is constrained to 4095 bytes or less."
".InternetGatewayDevice.UserInterface.ISPLogoSize",,,,"unsignedInt [0:4095]","O","O",,,"Un-encoded binary image size in bytes.
If ISPLogoSize input value is 0 then the ISPLogo is cleared.
ISPLogoSize can also be used as a check to verify correct transfer and conversion of Base64 string to image size."
".InternetGatewayDevice.UserInterface.ISPMailServer",,,,"string(256)","O","O",,,"The URL of the ISP's mail server."
".InternetGatewayDevice.UserInterface.ISPNewsServer",,,,"string(256)","O","O",,,"The URL of the ISP's news server."
".InternetGatewayDevice.UserInterface.TextColor",,,,"string(6)","O","O",,,"The color of text on the GUI screens in RGB hexidecimal notation (e.g., FF0088)."
".InternetGatewayDevice.UserInterface.BackgroundColor",,,,"string(6)","O","O",,,"The color of the GUI screen backgrounds in RGB hexidecimal notation (e.g., FF0088)."
".InternetGatewayDevice.UserInterface.ButtonColor",,,,"string(6)","O","O",,,"The color of buttons on the GUI screens in RGB hexidecimal notation (e.g., FF0088)."
".InternetGatewayDevice.UserInterface.ButtonTextColor",,,,"string(6)","O","O",,,"The color of text on buttons on the GUI screens in RGB hexidecimal notation (e.g., FF0088)."
".InternetGatewayDevice.UserInterface.AutoUpdateServer",,,,"string(256)","O","O",,,"The server the CPE can check to see if an update is available for direct download to it.  This MUST NOT be used by the CPE if the InternetﾭGatewayﾭDevice.ﾭManagementﾭServer.ﾭUpgradesﾭManaged parameter is true (1)."
".InternetGatewayDevice.UserInterface.UserUpdateServer",,,,"string(256)","O","O",,,"The server where a user can check via a web browser if an update is available for download to a PC.  This MUST NOT be used by the CPE if the InternetﾭGatewayﾭDevice.ﾭManagementﾭServer.ﾭUpgradesﾭManaged parameter is true (1)."
".InternetGatewayDevice.UserInterface.ExampleLogin",,,,"string(40)","O","O",,,"An example of a correct login, according to ISP-specific rules."
".InternetGatewayDevice.UserInterface.ExamplePassword",,,,"string(30)","O","O",,,"An example of a correct password, according to ISP-specific rules."
".InternetGatewayDevice.Layer3Forwarding.","L3Fwd",,,"object","-","R",,,"This object allows the handling of the routing and forwarding configuration of the device."
".InternetGatewayDevice.Layer3Forwarding.DefaultConnectionService",,,,"selector","R","R",,,"Specifies the default WAN interface.  The content is the full hierarchical parameter name of the default layer-3 connection object.  Example: ""InternetﾭGatewayﾭDevice.ﾭWANﾭDevice.ﾭ1.ﾭWANﾭConnectionﾭDevice.ﾭ2.ﾭWANﾭPPPﾭConnection.ﾭ1""."
".InternetGatewayDevice.Layer3Forwarding.ForwardNumberOfEntries",,"count(Forwarding)",,"unsignedInt","-","R",,,"Number of forwarding instances."
".InternetGatewayDevice.Layer3Forwarding.Forwarding.","Fwd",,,,,,,,
".InternetGatewayDevice.Layer3Forwarding.Forwarding.{i}.",,0,1,"object","R","R",,,"Layer-3 forwarding table."
".InternetGatewayDevice.Layer3Forwarding.Forwarding.{i}.Enable",,,,"boolean","R","R",,"l3_reload","Enables or disables the forwarding entry.  On creation, an entry is disabled by default."
".InternetGatewayDevice.Layer3Forwarding.Forwarding.{i}.Status",,,,"enum(Disabled,Enabled,Error)","-","R","S","l3_reload","Indicates the status of the forwarding entry.  Enumeration of:
""Disabled""
""Enabled""
""Error"""
".InternetGatewayDevice.Layer3Forwarding.Forwarding.{i}.Type",,,,"enum(Default,Network,Host)","R","R",,"l3_reload","Indicates the type of route.  Enumeration of: Default, Network, Host"
".InternetGatewayDevice.Layer3Forwarding.Forwarding.{i}.DestIPAddress",,,,"ipv4","R","R",,"l3_reload","Destination address."
".InternetGatewayDevice.Layer3Forwarding.Forwarding.{i}.DestSubnetMask",,,,"ipv4","R","R",,"l3_reload","Destination subnet mask."
".InternetGatewayDevice.Layer3Forwarding.Forwarding.{i}.SourceIPAddress",,,,"ipv4","R","R",,"l3_reload","Source address."
".InternetGatewayDevice.Layer3Forwarding.Forwarding.{i}.SourceSubnetMask",,,,"ipv4","R","R",,"l3_reload","Source subnet mask."
".InternetGatewayDevice.Layer3Forwarding.Forwarding.{i}.ForwardingPolicy",,,,"int[-1:]","R","R",,"l3_reload","Identifier of a set of classes or flows that have the corresponding ForwardingPolicy value as defined in the QueueManagement object. A value of -1 indicates no ForwardingPolicy is specified. If specified, this forwarding entry is to apply only to traffic associated with the specified classes and flows."
".InternetGatewayDevice.Layer3Forwarding.Forwarding.{i}.GatewayIPAddress",,,,"ipv4","R","R",,"l3_reload","IP address of the gateway."
".InternetGatewayDevice.Layer3Forwarding.Forwarding.{i}.Interface",,,,"selector","R","R",,"l3_reload","Specifies the WAN interface associated with this entry.  The content is the full hierarchical parameter name of the layer-3 connection object.  Example: ""InternetﾭGatewayﾭDevice.ﾭWANﾭDevice.ﾭ1.ﾭWANﾭConnectionﾭDevice.ﾭ2.ﾭWANﾭPPPﾭConnection.ﾭ1""."
".InternetGatewayDevice.Layer3Forwarding.Forwarding.{i}.ForwardingMetric",,,,"int[-1:]","R","R",,"l3_reload","Forwarding metric.  A value of -1 indicates this metric is not used."
".InternetGatewayDevice.Layer3Forwarding.Forwarding.{i}.MTU",,,,"unsignedInt [1:1540]","O","O",,"l3_reload","The maximum allowed size of an Ethernet frame for this route."
".InternetGatewayDevice.LANConfigSecurity.","CfgSeg",,,"object","-","R",,,"This object contains generic device configuration information."
".InternetGatewayDevice.LANConfigSecurity.ConfigPassword",,0,1,"string(64)","R","-",,,"A password to allow LAN access to protected auto-configuration services.
When read, this parameter returns an empty string, regardless of the actual value."
".InternetGatewayDevice.LANConfigSecurity.ConfigUsername",,,,"string(64)","R","R",,,
".InternetGatewayDevice.IPPingDiagnostics.","PingDiag",,,"object","-","O","S",,"This object is provides access to an IP-layer ping test."
".InternetGatewayDevice.IPPingDiagnostics.DiagnosticsState",,0,1,"enum(None,Requested,Complete,Error_CannotResolveHostName)","C","C","S N",,"Indicates availability of diagnostic data.  One of:
""None""
""Requested""
""Complete""
""Error_CannotResolveHostName""
Value may be set to Requested to initiate the diagnostic test.  When writing, the only allowed value is Requested.  To ensure the use of the proper test parameters (the writable parameters in this object), the test parameters MUST be set either prior to or at the same time as (in the same SetParameterValues) setting the DiagnosticState to Requested.
When requested, the CPE SHOULD wait until after completion of the communication session with the ACS before starting the diagnostic.
When the diagnostic initiated by the ACS is completed (successfully or not), the CPE MUST establish a new connection to the ACS to allow the ACS to view the results, indicating the Event code ""8 DIAGNOSTICS COMPLETE"" in the Inform message."
".InternetGatewayDevice.IPPingDiagnostics.Interface",,,,"selector","C","C","S",,"Specifies the WAN or LAN IP-layer interface over which the test is to be performed.  The content is the full hierarchical parameter name of the interface. 
The following is a WAN interface example:
""InternetﾭGatewayﾭDevice.ﾭWANﾭDevice.ﾭ1.ﾭWANﾭConnectionﾭDevice.ﾭ2.ﾭWANﾭPPPﾭConnection.ﾭ1""
The following is a LAN interface example:
""InternetﾭGatewayﾭDevice.ﾭLANﾭDevice.1.ﾭLANﾭHostﾭConfigﾭManagement.ﾭIPﾭInterface.ﾭ1"""
".InternetGatewayDevice.IPPingDiagnostics.Host",,,,"string(256)","C","C","S",,"Host name or address of the host to ping."
".InternetGatewayDevice.IPPingDiagnostics.NumberOfRepetitions",,,,"unsignedInt[1:]","C","C","S",,"Number of repetitions of the ping test to perform before reporting the results."
".InternetGatewayDevice.IPPingDiagnostics.Timeout",,,,"unsignedInt[1:]","C","C","S",,"Timeout in milliseconds for the ping test."
".InternetGatewayDevice.IPPingDiagnostics.DataBlockSize",,,,"unsignedInt[1:65535]","C","C","S",,"Size of the data block in bytes to be sent for each ping."
".InternetGatewayDevice.IPPingDiagnostics.DSCP",,,,"unsignedInt [0:64]","C","C","S",,"DiffServ codepoint to be used for the test packets.  By default the CPE should set this value to zero."
".InternetGatewayDevice.IPPingDiagnostics.SuccessCount",,,,"unsignedInt","-","C","S",,"Result parameter indicating the number of successful pings (those in which a successful response was received prior to the timeout) in the most recent ping test."
".InternetGatewayDevice.IPPingDiagnostics.FailureCount",,,,"unsignedInt","-","C","S",,"Result parameter indicating the number of failed pings in the most recent ping test."
".InternetGatewayDevice.IPPingDiagnostics.AverageResponseTime",,,,"unsignedInt","-","C","S",,"Result parameter indicating the average response time in milliseconds over all repetitions with successful responses of the most recent ping test.  If there were no successful responses, this value MUST be zero."
".InternetGatewayDevice.IPPingDiagnostics.MinimumResponseTime",,,,"unsignedInt","-","C","S",,"Result parameter indicating the minimum response time in milliseconds over all repetitions with successful responses of the most recent ping test.  If there were no successful responses, this value MUST be zero."
".InternetGatewayDevice.IPPingDiagnostics.MaximumResponseTime",,,,"unsignedInt","-","C","S",,"Result parameter indicating the maximum response time in milliseconds over all repetitions with successful responses of the most recent ping test.  If there were no successful responses, this value MUST be zero."
"InternetGatewayDevice.TraceRouteDiagnostics.","TraceRDiagnostics",,,"object","-","O","S",,"This object is defines access to an IP-layer traceroute test for the specified IP interface."
"InternetGatewayDevice.TraceRouteDiagnostics.DiagnosticsState",,0,1,"enum(None,Requested,Complete,Error_CannotResolveHostName,Error_MaxHopCountExceeded)","C","C","S",,"Indicates availability of diagnostic data. One of:
“None”
“Requested”
“Complete”
“Error_CannotResolveHostName”
“Error_MaxHopCountExceeded”
If the ACS sets the value of this parameter to Requested, the CPE MUST initiate
the corresponding diagnostic test. When writing, the only allowed value is
Requested. To ensure the use of the proper test parameters (the writable
parameters in this object), the test parameters MUST be set either prior to or
at the same time as (in the same SetParameterValues) setting the
DiagnosticsState to Requested. When requested, the CPE SHOULD wait until after
completion of the communication session with the ACS before starting the
diagnostic. When the diagnostic initiated by the ACS is completed (successfully
or not), the CPE MUST establish a new connection to the ACS to allow the ACS to
view the results, indicating the Event code ""8 DIAGNOSTICS COMPLETE"" in the
Inform message."
"InternetGatewayDevice.TraceRouteDiagnostics.Interface",,,,"string[256]","C","C","S",,"Specifies the WAN or LAN IP-layer interface over which the test is to be
performed. This identifies the source IP address to use when performing the
test. The content is the full hierarchical parameter name of the interface. The
following is a WAN interface example:
“InternetGatewayDevice.WANDevice.1.WANConnectionDevice.2.WANPPPConnection.1”
The following is a LAN interface example:
“.InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1”"
".InternetGatewayDevice.TraceRouteDiagnostics.Host",,,,"string[256]","C","C","S",,"Host name or address of the host to find a route to "
".InternetGatewayDevice.TraceRouteDiagnostics.NumberOfTries",,,,"unsignedInt[1:3]","C","C","S",,"Number of tries per hop. Set prior to running Diagnostic. By default, the CPE SHOULD set this value to 3."
".InternetGatewayDevice.TraceRouteDiagnostics.Timeout",,,,"unsignedInt[1:]","C","C","S",,"Timeout in milliseconds for the trace route test. By default the CPE SHOULD set this value to 5000."
".InternetGatewayDevice.TraceRouteDiagnostics.DataBlockSize",,,,"unsignedInt[1:65535]","C","C","S",,"Size of the data block in bytes to be sent for each trace route. By default, the CPE SHOULD set this value to 38."
".InternetGatewayDevice.TraceRouteDiagnostics.DSCP",,,,"unsignedInt[0:63]","C","C","S",,"DiffServ codepoint to be used for the test packets. By default the CPE SHOULD set this value to 0."
".InternetGatewayDevice.TraceRouteDiagnostics.MaxHopCount",,,,"unsignedInt[1:64]","C","C","S",,"The maximum number of hop used in outgoing probe packets (max TTL). By default the CPE SHOULD set this value to 30."
".InternetGatewayDevice.TraceRouteDiagnostics.ResponseTime",,,,"unsignedInt",,"C","S",,"Result parameter indicating the response time in milliseconds the most recent trace route test. If a route could not be determined, this value MUST be zero."
".InternetGatewayDevice.TraceRouteDiagnostics.RouteHopsNumberOfEntries",,"count(RouteHops)",,"unsignedInt",,"C","S",,"Number of entries in the RouteHops table."
".InternetGatewayDevice.TraceRouteDiagnostics.RouteHops.",,,,"object",,"C","S",,
".InternetGatewayDevice.TraceRouteDiagnostics.RouteHops.{i}.",,,,"object",,"C","S",,"Contains the array of results returned. If a route could not be determined, this array will be empty"
".InternetGatewayDevice.TraceRouteDiagnostics.RouteHops.{i}.HopHost",,,,"string[256]",,"C","S",,"Result parameter indicating the Host Name if DNS is able to resolve or IP Address of a hop along the discovered route."
".InternetGatewayDevice.TraceRouteDiagnostics.RouteHops.{i}.HopHostAddress",,,,"string",,"C","S",,"If this parameter is non empty it will contain the last IP address of the host returned for this hop and the HopHost will contain the Host Name returned from the reverse DNS query."
".InternetGatewayDevice.TraceRouteDiagnostics.RouteHops.{i}.HopErrorCode ",,,,"unsignedInt",,"C","S",,"Contains the error code returned for this hop This code is directly from the ICMP CODE field."
".InternetGatewayDevice.TraceRouteDiagnostics.RouteHops.{i}.HopRTTimes ",,,,"String[16]",,"C","S",,"Contains the comma separated list of one or more round trip times in milliseconds (one for each repetition) for this hop."
".InternetGatewayDevice.X_TPLINO_NET_PCapDump.",,,,"object","-","O","S",,"This object defines how a tcpdump paket capture is to be executed."
".InternetGatewayDevice.X_TPLINO_NET_PCapDump.State",,0,1,"enum(None,Requested,Complete,Error_PCAP,Error_TFTP)","O","O","S",,"Indicates the state of an ongoing pakeet capture process. It can be one of the following:
“None”
“Requested”
“Complete”
“Error_PCAP”
“Error_TFTP”"
".InternetGatewayDevice.X_TPLINO_NET_PCapDump.Interface",,,,"selector","O","O","S",,"Specifies the interface to capture pakets from."
".InternetGatewayDevice.X_TPLINO_NET_PCapDump.UploadURL",,,,"string[256]","O","O","S",,"The URL for the CPE to send the resulting capture file to. This hast to be a valid TFTP URL. No analysis of captured pakages will be done on the CPE."
".InternetGatewayDevice.X_TPLINO_NET_PCapDump.Timeout",,,,"unsignedInt[1:]","O","O","S",,"Defines the maximum time to monitor network traffic in millisecons."
".InternetGatewayDevice.X_TPLINO_NET_PCapDump.MaxKBytes",,,,"unsignedInt[1:4096]","O","O","S",,"The maximum amount of bytes written to capture file before exiting in KBytes."
".InternetGatewayDevice.X_TPLINO_NET_PCapDump.MaxPackages",,,,"unsignedInt[1:1024]","O","O","S",,"The maximum number of packages written to capture file before exiting."
".InternetGatewayDevice.X_TPLINO_NET_DNSResolver.",,,,"object","-","O","S",,"This object defines a simple DNS lookup."
".InternetGatewayDevice.X_TPLINO_NET_DNSResolver.State",,0,1,"enum(None,Requested,Complete,Error,DNSChange)","O","O","S",,"Indicates the state of the resolver.
“None”
“Requested”
“Complete”
“Error”
“DNSChange”"
